"song_name","artist_name","PopularityPredict"
"Call Me Maybe","Carly Rae Jepsen",70.7559104169718
"Clarity","Zedd",77.0450568949083
"Rack City","Tyga",66.9283661519158
"Faded","Tyga",74.1078340730661
"Stay","Rihanna",76.7989572011191
"Pour It Up","Rihanna",65.1081424216073
"Stay - Album Version (Edited)","Rihanna",71.6319645605047
"Don't You Worry Child - Radio Edit","Swedish House Mafia",72.0248167397986
"Clique","JAY Z",73.3817839482756
"I Knew You Were Trouble.","Taylor Swift",62.588551102192
"Starships","Nicki Minaj",69.8781813462692
"Glad You Came","The Wanted",74.7267437134156
"I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit","Avicii",71.5829869151729
"Silhouettes - Original Radio Edit","Avicii",70.5430499254421
"Adorn","Miguel",68.9077142042836
"Somethin' 'Bout A Truck","Kip Moore",66.3433593039451
"Payphone","Maroon 5",67.1209370001552
"Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit)","Kid Cudi",63.111694347557
"Take a Walk","Passion Pit",59.9328000052398
"Girl On Fire","Alicia Keys",69.1976893045398
"Die Young","Kesha",63.3546786054544
"White Noise","Rain Sounds",70.8504740595722
"Mi Razón De Ser","Banda Sinaloense MS de Sergio Lizárraga",73.0561287253933
"Little Things","One Direction",62.1224033654506
"They Don't Know About Us","One Direction",74.7079205885886
"King For A Day","Pierce The Veil",67.0465521062681
"Feels Like We Only Go Backwards","Tame Impala",63.8379397022078
"Courtesy Call","Thousand Foot Krutch",76.7106191442378
"E.T. - feat. Kanye West","Katy Perry",64.2482004894434
"Last Friday Night (T.G.I.F.)","Katy Perry",75.8032517628074
"Firework","Katy Perry",72.1588515860041
"Feel So Close - Radio Edit","Calvin Harris",63.023104713431
"My Kind of Woman","Mac DeMarco",67.9682854815738
"Anna Sun","WALK THE MOON",64.2190838294556
"Relaxing Constant Rain Storm with Distant Thunder Sfx","Nature Sounds",73.1872441258946
"Lost In The Light","Bahamas",60.6054724623831
"Hold On","Alabama Shakes",71.5411578804976
"Promise","Romeo Santos",73.9312159734569
"Ends of the Earth","Lord Huron",66.199334168521
"Wake Me Up","Avicii",69.7909819387018
"Hey Brother","Avicii",76.8248466951684
"You Make Me","Avicii",70.4302063806237
"Play It Again","Luke Bryan",67.777440893484
"That's My Kind Of Night","Luke Bryan",71.4733805023021
"3005","Childish Gambino",72.8651508073438
"IV. Sweatpants","Childish Gambino",73.0656909205134
"I. The Worst Guys","Childish Gambino",64.6616955426649
"All of Me","John Legend",63.6098964866787
"Wagon Wheel","Darius Rucker",68.7465004995295
"Work REMIX","A$AP Ferg",59.2347758907304
"Shabba","A$AP Ferg",70.750496040885
"F**kin' Problems","A$AP Rocky",64.9806532008276
"Wild for the Night","A$AP Rocky",64.4806663310366
"Goldie","A$AP Rocky",64.7396612085615
"This Is Gospel","Panic! At The Disco",61.7096416647663
"Miss Jackson (feat. LOLO)","Panic! At The Disco",65.168916887178
"Girls/Girls/Boys","Panic! At The Disco",72.9744579010026
"Nicotine","Panic! At The Disco",66.25094156348
"Do I Wanna Know?","Arctic Monkeys",71.2962258692881
"R U Mine?","Arctic Monkeys",61.9216355407872
"Why'd You Only Call Me When You're High?","Arctic Monkeys",76.2051319941502
"Royals","Lorde",64.755815266355
"Team","Lorde",64.296085782778
"Power Trip","J. Cole",65.7304038146458
"Crooked Smile","J. Cole",62.3771355737762
"She Knows","J. Cole",77.0916300096049
"Forbidden Fruit","J. Cole",61.2816080515207
"Rich Niggaz","J. Cole",71.2016229445674
"All Me","Drake",59.2097497190432
"From Time","Drake",69.243815571787
"Hold On, We're Going Home","Drake",75.4296792613332
"Started From the Bottom","Drake",67.6254729296678
"0 To 100 / The Catch Up","Drake",66.2958800518158
"Sweater Weather","The Neighbourhood",63.552623362782
"This Is How We Roll","Florida Georgia Line",74.6983924268396
"Trumpets","Jason Derulo",67.1162483337459
"Talk Dirty (feat. 2 Chainz)","Jason Derulo",69.1656169945519
"Rap God","Eminem",67.3993328634246
"The Monster","Eminem",70.1350074012072
"All I Want","Kodaline",65.8535818398293
"Black Skinhead","Kanye West",73.2723205071896
"Bound 2","Kanye West",73.1924469396712
"Blood On The Leaves","Kanye West",66.6660541412216
"Cigarette Daydreams","Cage The Elephant",76.0351917826848
"Come a Little Closer","Cage The Elephant",62.0716761972091
"Pompeii","Bastille",63.7978773330706
"Runnin' Outta Moonlight","Randy Houser",61.0904842983446
"How Country Feels","Randy Houser",57.4208463994922
"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",71.826644030861
"The Phoenix","Fall Out Boy",86.7326138774481
"Hail to the King","Avenged Sevenfold",60.882363822017
"Love Me","Lil Wayne",67.909698141304
"We Can't Stop","Miley Cyrus",65.4170712861975
"Adore You","Miley Cyrus",66.3216658946237
"Young And Beautiful","Lana Del Rey",60.9699129085229
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit","Lana Del Rey",65.7775821141288
"HeadBand (feat. 2 Chainz)","B.o.B",77.4027249957285
"Let It Go - From ""Frozen""/Soundtrack Version","Idina Menzel",83.1759746881179
"Love Is an Open Door","Kristen Bell",67.9323007799542
"Do You Want to Build a Snowman?","Kristen Bell",74.6775994411975
"Bloom - Bonus Track","The Paper Kites",72.7531106893419
"Dark Horse","Katy Perry",64.010309842144
"The Worst","Jhene Aiko",78.8869021044307
"I See Fire","Ed Sheeran",64.9008207527912
"Oceans (Where Feet May Fail)","Hillsong United",61.2075524792769
"Wrong Side of Heaven","Five Finger Death Punch",68.5767914027831
"Story of My Life","One Direction",56.6995113133365
"Latch","Disclosure",68.871914484364
"You & Me - Flume Remix","Disclosure",57.7415182118573
"DJ Turn It Up","Yellow Claw",66.472484702543
"Get Me Some Of That","Thomas Rhett",81.605025197253
"It Goes Like This","Thomas Rhett",72.8506334841793
"Make Me Wanna","Thomas Rhett",65.1460444110187
"Sail","AWOLNATION",75.1230116251281
"Ain't It Fun","Paramore",61.6397159589568
"Still Into You","Paramore",62.9730258139177
"Sad Song (feat. Elena Coats)","We The Kings",63.3827166020332
"Mirrors","Justin Timberlake",67.7043545499972
"Highway Don't Care","Tim McGraw",64.9494986481331
"Break From Toronto","PARTYNEXTDOOR",65.9760674926882
"Beat Of The Music","Brett Eldredge",67.2527024745059
"Mean To Me","Brett Eldredge",79.4451053848859
"Vivir Mi Vida","Marc Anthony",65.9857527241117
"Just What I Am","Kid Cudi",56.181569334293
"Blurred Lines","Robin Thicke",69.5771186351267
"Whatever She's Got","David Nail",69.3177100686518
"Heart Attack","Demi Lovato",69.2184436823878
"Yeah","Joe Nichols",74.8368846539816
"Turn Down for What","DJ Snake",68.5335797554441
"Gone, Gone, Gone","Phillip Phillips",64.9630034481882
"This Is Amazing Grace","Phil Wickham",71.9827630064665
"I Want Crazy - Encore","Hunter Hayes",64.6147022077832
"Burn","Ellie Goulding",61.9121821267387
"No Role Modelz","J. Cole",77.0348571905172
"Wet Dreamz","J. Cole",68.4318975909342
"G.O.M.D.","J. Cole",58.8763941741463
"A Tale of 2 Citiez","J. Cole",78.3866817307019
"Apparently","J. Cole",71.20912115025
"Love Yourz","J. Cole",68.9517865948575
"Fire Squad","J. Cole",77.1060858571713
"Riptide","Vance Joy",68.5842176025369
"Georgia","Vance Joy",71.0523729745993
"Mess Is Mine","Vance Joy",71.1101691168911
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Ty Dolla $ign",65.4726861981826
"Let It Go","James Bay",68.7332800472117
"Ni**as In Paris","JAY Z",64.8239914999379
"Stay With Me","Sam Smith",61.5494243610952
"I'm Not The Only One","Sam Smith",71.3354087178562
"Counting Stars","OneRepublic",71.4155847317069
"Thinking Out Loud","Ed Sheeran",66.7477692267697
"Photograph","Ed Sheeran",74.196219751633
"Don't","Ed Sheeran",81.2845799435549
"Take Me to Church","Hozier",66.2233460007711
"Cherry Wine - Live","Hozier",74.723007832731
"Someone New","Hozier",64.9600983526743
"Work Song","Hozier",69.2793755272349
"Like Real People Do","Hozier",66.3889042793631
"One Last Time","Ariana Grande",64.3707779959171
"Break Free","Ariana Grande",64.8493574251744
"Problem","Ariana Grande",63.9411810430344
"Love Me Harder","Ariana Grande",72.373921179828
"Shut Up and Dance","WALK THE MOON",74.2147634581984
"The Nights","Avicii",63.3358016664269
"The Days","Avicii",59.2276418022701
"Make You Miss Me","Sam Hunt",66.4751336001525
"House Party","Sam Hunt",70.7789591961243
"Break Up In A Small Town","Sam Hunt",70.4540896662116
"Leave The Night On","Sam Hunt",56.8019474570864
"Take Your Time","Sam Hunt",61.4444858079296
"Sober","Childish Gambino",69.9074211484959
"Little Do You Know","Alex & Sierra",61.1839016496286
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",64.8044255193784
"I Mean It","G-Eazy",66.0379902358617
"Let's Get Lost","G-Eazy",67.8451436707972
"Fight Night","Migos",63.3713125668979
"Time of Our Lives","Pitbull",74.3048435645918
"Collard Greens","ScHoolboy Q",84.941392654583
"Man Of The Year","ScHoolboy Q",73.5798147879211
"Studio","ScHoolboy Q",59.2362955691099
"I Like The Sound Of That","Rascal Flatts",70.9787253721979
"Trophies","Young Money",77.7289733925892
"Hot N*gga","Bobby Shmurda",65.9893416626606
"I Don't Dance","Lee Brice",69.916385933702
"Drinking Class","Lee Brice",70.9437826678837
"Say Something","A Great Big World",73.0341200788569
"Stolen Dance","Milky Chance",61.2915180939728
"Jealous","Labrinth",71.8120359856467
"Wildest Dreams","Taylor Swift",72.8883284915094
"Shake It Off","Taylor Swift",68.6625711077853
"Blank Space","Taylor Swift",65.5253501749718
"Bad Blood","Taylor Swift",62.222399221089
"Only","Nicki Minaj",76.2741730802137
"Feeling Myself","Nicki Minaj",73.605991716076
"Ignition (Remix)","R. Kelly",66.902760542724
"Talladega","Eric Church",58.7113367254284
"Anything Goes","Florida Georgia Line",71.2349638468869
"Confession","Florida Georgia Line",70.9688214283197
"7/11","Beyoncé",68.7579737770171
"Drunk in Love","Beyoncé",65.8390561359319
"Partition","Beyoncé",57.8157955247586
